"rangeS","SpeedX"
"(15.6,1e+03]",6.395205307014
"(15.6,1e+03]",11.5014980239439
"(15.6,1e+03]",10.2811342092119
"(15.6,1e+03]",4.5134048727542
"(15.6,1e+03]",-5.18736666549012
"(15.6,1e+03]",21.9826188238019
"(15.6,1e+03]",8.92084847814594
"(15.6,1e+03]",4.35986623395611
"(15.6,1e+03]",10.9127274915181
"(15.6,1e+03]",7.73167446038388
"(15.6,1e+03]",5.62952111970608
"(15.6,1e+03]",13.2849180271259
"(7.7,12.5]",21.8086270275359
"(7.7,12.5]",9.93642412503606
"(7.7,12.5]",2.70904494159013
"(7.7,12.5]",-19.6526604267901
"(7.7,12.5]",6.85030984531794
"(7.7,12.5]",7.02966411571806
"(7.7,12.5]",9.88865612356812
"(7.7,12.5]",19.5022337446318
"(7.7,12.5]",28.741002775578
"(7.7,12.5]",26.403014858196
"(7.7,12.5]",33.9420310111202
"(7.7,12.5]",12.3151608281279
"(7.7,12.5]",33.1471498168259
"(15.6,1e+03]",8.681844217476
"(15.6,1e+03]",10.9420503825842
"(15.6,1e+03]",-3.13290913188602
"(15.6,1e+03]",9.21782066248182
"(15.6,1e+03]",-8.60507109418188
"(15.6,1e+03]",-8.8814501928
"(15.6,1e+03]",0.679361379042078
"(15.6,1e+03]",10.11726508347
"(7.7,12.5]",-4.37174675689794
"(7.7,12.5]",-8.34409040623194
"(7.7,12.5]",21.0959526515579
"(7.7,12.5]",-20.5862967289801
"(7.7,12.5]",4.61870324189413
"(7.7,12.5]",9.32699620721394
"(7.7,12.5]",-0.129087710076055
"(15.6,1e+03]",9.91138980954612
"(15.6,1e+03]",37.3731792382679
"(15.6,1e+03]",32.0835942454139
"(15.6,1e+03]",12.1708181067721
"(15.6,1e+03]",-1.34356623792601
"(12.5,15.6]",17.1823890071279
"(12.5,15.6]",5.54967986251822
"(12.5,15.6]",-10.9835188596901
"(12.5,15.6]",-26.2216574841301
"(12.5,15.6]",-26.7586563206041
"(12.5,15.6]",-31.6911484474679
"(12.5,15.6]",-13.8478148184961
"(12.5,15.6]",-16.1730120482578
"(12.5,15.6]",5.40103517462385
"(12.5,15.6]",17.5319593770718
"(12.5,15.6]",5.35541340267619
"(12.5,15.6]",-35.9712835798799
"(12.5,15.6]",-12.4731566269502
"(12.5,15.6]",-30.965259589782
"(12.5,15.6]",-14.4478879637461
"(12.5,15.6]",-3.51772517620784
"(12.5,15.6]",-7.93892424921606
"(12.5,15.6]",13.653992978334
"(12.5,15.6]",13.2436820227619
"(12.5,15.6]",12.467971344576
"(12.5,15.6]",5.91892429750824
"(12.5,15.6]",-7.02229101523206
"(12.5,15.6]",-8.09845362785406
"(12.5,15.6]",-14.2678770440219
"(12.5,15.6]",9.66508377004194
"(12.5,15.6]",5.54851837423184
"(12.5,15.6]",-14.3352314057758
"(12.5,15.6]",-3.07897287204596
"(12.5,15.6]",2.62338373963193
"(12.5,15.6]",15.4150786550159
"(12.5,15.6]",11.009623110114
"(12.5,15.6]",4.29527124510605
"(12.5,15.6]",28.5395663070241
"(12.5,15.6]",12.7813322740978
"(12.5,15.6]",17.085438969228
"(12.5,15.6]",7.73799516395418
"(12.5,15.6]",11.418636359622
"(12.5,15.6]",16.6515869222579
"(12.5,15.6]",-1.22525389337379
"(12.5,15.6]",3.28487672037599
"(12.5,15.6]",17.4952550028598
"(12.5,15.6]",5.73176499254996
"(12.5,15.6]",1.47760645350017
"(12.5,15.6]",-1.20694148656212
"(12.5,15.6]",-13.7911023737041
"(12.5,15.6]",-15.0297599528279
"(12.5,15.6]",-0.765945496157838
"(12.5,15.6]",-1.94275806555006
"(12.5,15.6]",-1.08719832686402
"(12.5,15.6]",1.39699307422198
"(12.5,15.6]",12.6719747265119
"(12.5,15.6]",1.7150625433922
"(12.5,15.6]",-37.3496117044919
"(12.5,15.6]",-12.1124982692341
"(12.5,15.6]",2.22510647570407
"(12.5,15.6]",26.3520972802618
"(12.5,15.6]",17.0630703589502
"(12.5,15.6]",-17.7325077079082
"(12.5,15.6]",-2.77195569400792
"(12.5,15.6]",1.43775640419599
"(12.5,15.6]",-1.16150541274201
"(12.5,15.6]",-11.4057245893378
"(12.5,15.6]",-2.34456429786587
"(12.5,15.6]",-7.35598080559824
"(12.5,15.6]",6.96674038891194
"(12.5,15.6]",14.0243902786921
