"Area","Kind","Condition"
43953.4268292683,"10ng_EGF+0.2","10ng_EGF"
2604.34146341463,"10ng_EGF+0.2","10ng_EGF"
4450.5,"10ng_EGF+0.2","10ng_EGF"
5064.26829268293,"10ng_EGF+0.2","10ng_EGF"
4920.32926829268,"10ng_EGF+0.2","10ng_EGF"
14065.1666666667,"10ng_EGF+0.2","10ng_EGF"
6541.42682926829,"10ng_EGF+0.2","10ng_EGF"
5876.90243902439,"10ng_EGF+6","10ng_EGF"
2837.9756097561,"Control+6","Control"
13462.0526315789,"10ng_EGF+200","10ng_EGF"
18558.6226415094,"10ng_EGF+200","10ng_EGF"
8949.67073170732,"10ng_EGF+200","10ng_EGF"
7327.26829268293,"10ng_EGF+200","10ng_EGF"
4720.80555555556,"10ng_EGF+200","10ng_EGF"
17082,"10ng_EGF+200","10ng_EGF"
67874.3709677419,"10ng_EGF+200","10ng_EGF"
10445.9024390244,"10ng_EGF+200","10ng_EGF"
75634.1219512195,"10ng_EGF+200","10ng_EGF"
31015.3902439024,"10ng_EGF+200","10ng_EGF"
10576.8170731707,"10ng_EGF+200","10ng_EGF"
4075.5487804878,"10ng_EGF+200","10ng_EGF"
8889.01219512195,"10ng_EGF+200","10ng_EGF"
11741.5,"10ng_EGF+200","10ng_EGF"
5328.39583333333,"10ng_EGF+200","10ng_EGF"
1712.7619047619,"Control+6","Control"
4587.36585365854,"Control+6","Control"
36160.9459459459,"Control+6","Control"
21098.0925925926,"Control+24","Control"
17902.5,"Control+24","Control"
5783.13043478261,"Control+24","Control"
6170,"Control+24","Control"
16241.5,"Control+24","Control"
8708.59375,"Control+24","Control"
17071.8873239437,"Control+24","Control"
27557.2307692308,"Control+24","Control"
31668.2857142857,"Control+24","Control"
48241.5507246377,"Control+24","Control"
7887.55813953488,"Control+24","Control"
55046.6764705882,"Control+24","Control"
2567.30769230769,"Control+200","Control"
39261.6551724138,"Control+200","Control"
10862.2777777778,"Control+200","Control"
2201.40740740741,"Control+200","Control"
13071.6,"Control+200","Control"
7361.62162162162,"10ng_EGF+200","10ng_EGF"
22997.0909090909,"10ng_EGF+200","10ng_EGF"
10798.7733333333,"10ng_EGF+200","10ng_EGF"
10225.17,"10ng_EGF+200","10ng_EGF"
32765.2352941176,"10ng_EGF+200","10ng_EGF"
5124.47457627119,"10ng_EGF+200","10ng_EGF"
51858.6428571429,"10ng_EGF+200","10ng_EGF"
10007.1111111111,"10ng_EGF+200","10ng_EGF"
3222.04504504504,"10ng_EGF+200","10ng_EGF"
8471.92307692308,"10ng_EGF+200","10ng_EGF"
14904.4880952381,"10ng_EGF+200","10ng_EGF"
8183.84615384615,"10ng_EGF+200","10ng_EGF"
5528.54054054054,"10ng_EGF+200","10ng_EGF"
65478.954954955,"10ng_EGF+200","10ng_EGF"
5219.03603603604,"10ng_EGF+200","10ng_EGF"
2633.1981981982,"10ng_EGF+200","10ng_EGF"
7233.84684684685,"Control+0.2","Control"
5809.47058823529,"Control+0.2","Control"
8778.98198198198,"Control+0.2","Control"
6127.51351351351,"Control+0.2","Control"
10721.3243243243,"Control+0.2","Control"
3788.23423423423,"Control+0.2","Control"
7409.03603603604,"Control+0.2","Control"
8886.30630630631,"10ng_EGF+200","10ng_EGF"
22074.0720720721,"10ng_EGF+200","10ng_EGF"
11130.5765765766,"10ng_EGF+200","10ng_EGF"
13434.5,"10ng_EGF+200","10ng_EGF"
5901.86956521739,"10ng_EGF+200","10ng_EGF"
12578.981981982,"10ng_EGF+24","10ng_EGF"
9658.86486486487,"10ng_EGF+24","10ng_EGF"
9597.01801801802,"10ng_EGF+24","10ng_EGF"
12583.8648648649,"10ng_EGF+24","10ng_EGF"
8069.87387387387,"10ng_EGF+24","10ng_EGF"
5874.21495327103,"10ng_EGF+24","10ng_EGF"
6954.77477477477,"10ng_EGF+24","10ng_EGF"
5034.71818181818,"10ng_EGF+24","10ng_EGF"
3677.25225225225,"10ng_EGF+24","10ng_EGF"
1350.10810810811,"10ng_EGF+24","10ng_EGF"
9811.71171171171,"10ng_EGF+24","10ng_EGF"
3559.40322580645,"10ng_EGF+6","10ng_EGF"
9489.20720720721,"10ng_EGF+6","10ng_EGF"
3894.73873873874,"10ng_EGF+6","10ng_EGF"
13478.2252252252,"10ng_EGF+6","10ng_EGF"
4579.44736842105,"10ng_EGF+6","10ng_EGF"
9276.45945945946,"10ng_EGF+6","10ng_EGF"
5682.38738738739,"10ng_EGF+6","10ng_EGF"
6657.75,"10ng_EGF+6","10ng_EGF"
12098.8648648649,"10ng_EGF+6","10ng_EGF"
9342.11538461538,"10ng_EGF+6","10ng_EGF"
7591.90476190476,"10ng_EGF+6","10ng_EGF"
8740,"10ng_EGF+6","10ng_EGF"
14548.5092592593,"10ng_EGF+6","10ng_EGF"
4505.80821917808,"10ng_EGF+6","10ng_EGF"
6062.92792792793,"10ng_EGF+6","10ng_EGF"
9312.98198198198,"10ng_EGF+6","10ng_EGF"
3904.79166666667,"10ng_EGF+6","10ng_EGF"
7415.12612612613,"10ng_EGF+6","10ng_EGF"
5606.38738738739,"10ng_EGF+6","10ng_EGF"
4805.5,"Control+0.2","Control"
3113.78378378378,"Control+0.2","Control"
7892.5,"Control+0.2","Control"
2858.61971830986,"Control+0.2","Control"
23369.1171171171,"Control+0.2","Control"
18393.5045045045,"Control+0.2","Control"
10909.6607142857,"Control+0.2","Control"
28284.6486486487,"Control+0.2","Control"
1789.63888888889,"10ng_EGF+6","10ng_EGF"
12053.8198198198,"10ng_EGF+6","10ng_EGF"
9642.64864864865,"10ng_EGF+6","10ng_EGF"
10375.5,"10ng_EGF+6","10ng_EGF"
2505.86764705882,"10ng_EGF+6","10ng_EGF"
