"Type","SpeedX"
"Gradient",5.0729597611079
"Gradient",2.53632957571199
"Gradient",-0.76371936954597
"Gradient",-2.10214888997398
"Gradient",-4.11456056980205
"Gradient",23.174304921174
"Gradient",20.5885203036539
"Gradient",18.8288083727161
"Gradient",19.0048427502061
"Gradient",18.0742118717881
"Gradient",17.9373925353418
"Gradient",21.923444224614
"Gradient",-0.512153144795911
"Gradient",21.778676103828
"Gradient",-8.70605793441612
"Gradient",2.44695934659012
"Gradient",31.3453931721479
"Gradient",3.85755004077605
"Gradient",21.1727035145339
"Gradient",-8.49501337601394
"Gradient",2.94671204576993
"Gradient",32.5688292925079
"Gradient",11.9185070943839
"Gradient",16.1890506964261
"Gradient",-13.4221702390861
"Gradient",11.5418756394481
"Gradient",28.0694848736101
"Gradient",15.065418844554
